,week,state,Population,deaths,cases,negatives,Date,death_SMA,deaths_per_100000,cases_per_100000,positive_test_rate,timestamp
85,12,NY,19453561,111,14520,41814,2020-03-22,57.0,0.04185792587206601,10.662755853726287,0.2577484290126744,2020-03-22
84,12,NV,3080156,6,109,2280,2020-03-22,3.5,0.016232944045691193,0.5055402574229543,0.04562578484721641,2020-03-22
79,12,ND,762062,0,27,1165,2020-03-22,0.0,0.0,0.5061455442133129,0.022651006711409395,2020-03-22
82,12,NJ,8882190,27,1816,207,2020-03-22,14.5,0.023321146827849564,2.9207725958189528,0.897676717745922,2020-03-22
81,12,NH,1359711,0,52,917,2020-03-22,0.0,0.0,0.5463345834939505,0.053663570691434466,2020-03-22
80,12,NE,1934408,0,31,276,2020-03-22,0.0,0.0,0.22893678213548685,0.10097719869706841,2020-03-22
88,12,OR,4217737,4,125,2444,2020-03-22,2.0,0.006774113362551665,0.4233820851594791,0.04865706500583885,2020-03-22
83,12,NM,2096829,0,48,4755,2020-03-22,0.0,0.0,0.32702441911776575,0.009993753903810118,2020-03-22
89,12,PA,12801989,2,416,4759,2020-03-22,1.0,0.0011158980284793469,0.4642135798474083,0.08038647342995169,2020-03-22
95,12,UT,3205958,1,153,3831,2020-03-22,0.5,0.0022279946096789615,0.6817663505617622,0.038403614457831324,2020-03-22
91,12,SC,5148714,3,176,1312,2020-03-22,1.5,0.004161926925552949,0.48833275926487935,0.11827956989247312,2020-03-22
92,12,SD,884659,1,12,413,2020-03-22,0.5,0.00807413607147742,0.19377926571545806,0.02823529411764706,2020-03-22
93,12,TN,6829174,0,466,3115,2020-03-22,0.0,0.0,0.9748093776996833,0.13013124825467745,2020-03-22
94,12,TX,28995881,5,278,8422,2020-03-22,2.5,0.0012317020377579045,0.136965266598679,0.03195402298850575,2020-03-22
96,12,VA,8535519,2,174,2755,2020-03-22,1.5,0.0025105176883293717,0.2912200518462071,0.0594059405940594,2020-03-22
97,12,VT,623989,2,44,768,2020-03-22,1.0,0.022894176477012067,1.007343764988531,0.054187192118226604,2020-03-22
98,12,WA,7614893,69,1869,25810,2020-03-22,45.5,0.08535904575415569,3.5062869563630117,0.06752411575562701,2020-03-22
99,12,WI,5822434,4,388,5917,2020-03-22,2.0,0.004907127941927478,0.9519828207339307,0.06153846153846154,2020-03-22
100,12,WV,1792147,0,12,347,2020-03-22,0.0,0.0,0.09565541857256767,0.033426183844011144,2020-03-22
101,12,WY,578759,0,21,438,2020-03-22,0.0,0.0,0.5183504705758356,0.0457516339869281,2020-03-22
90,12,RI,1059361,0,93,1183,2020-03-22,0.0,0.0,1.2541252968265102,0.07288401253918496,2020-03-22
77,12,MT,1068778,0,24,1043,2020-03-22,0.0,0.0,0.32079360059539297,0.022492970946579195,2020-03-22
63,12,IA,3155070,0,72,1132,2020-03-22,0.0,0.0,0.32600589799003776,0.059800664451827246,2020-03-22
75,12,MO,6137428,3,85,247,2020-03-22,1.5,0.0034914578922264224,0.1978492805594973,0.2560240963855422,2020-03-22
76,12,MS,2976149,1,197,1030,2020-03-22,0.5,0.002400033446866116,0.9456131780652495,0.16055419722901385,2020-03-22
52,12,AL,4903185,0,126,1436,2020-03-22,0.0,0.0,0.36710831836857066,0.08066581306017925,2020-03-22
53,12,AR,3017804,0,149,608,2020-03-22,0.0,0.0,0.7053378644111509,0.19682959048877147,2020-03-22
54,12,AZ,7278717,2,140,161,2020-03-22,1.0,0.0019626692843964515,0.2747736998155032,0.46511627906976744,2020-03-22
55,12,CA,39512223,22,1243,10388,2020-03-22,13.5,0.004880948937171742,0.4494088539929241,0.10686957269366348,2020-03-22
56,12,CO,5758736,5,460,4218,2020-03-22,3.0,0.007442109320021417,1.1411234290699508,0.09833262077811031,2020-03-22
57,12,CT,3565287,5,203,2752,2020-03-22,2.5,0.01001722602255743,0.8133987530316633,0.06869712351945854,2020-03-22
58,12,DC,705749,1,82,878,2020-03-22,0.5,0.01012095963700571,1.6598373804689364,0.08541666666666667,2020-03-22
59,12,DE,973764,0,50,0,2020-03-22,0.0,0.0,0.7335306237298918,1.0,2020-03-22
60,12,FL,21477737,9,640,7312,2020-03-22,6.5,0.004323413721712993,0.425689966445587,0.08048289738430583,2020-03-22
61,12,GA,10617423,22,501,3420,2020-03-22,11.5,0.015473219281714056,0.6740941617511949,0.12777352716143842,2020-03-22
62,12,HI,1415872,0,46,263,2020-03-22,0.0,0.0,0.464125893543242,0.1488673139158576,2020-03-22
51,12,AK,731545,0,25,799,2020-03-22,0.0,0.0,0.4882035379133986,0.03033980582524272,2020-03-22
64,12,ID,1787065,0,37,1001,2020-03-22,0.0,0.0,0.29577627482572183,0.03564547206165703,2020-03-22
73,12,MI,9986857,36,5634,4586,2020-03-22,18.0,0.025748126476914324,8.059163587274183,0.5512720156555773,2020-03-22
72,12,ME,1344212,0,86,2173,2020-03-22,0.0,0.0,0.9139714781384399,0.038069942452412575,2020-03-22
71,12,MD,6045680,4,213,0,2020-03-22,2.0,0.004725924721690293,0.5033109828600162,1.0,2020-03-22
70,12,MA,6892503,11,483,4892,2020-03-22,5.5,0.011399549419337004,1.0010877035526862,0.08986046511627907,2020-03-22
74,12,MN,5639632,1,221,3124,2020-03-22,0.5,0.0012665466723461997,0.5598136291770203,0.06606875934230194,2020-03-22
68,12,KY,4467673,2,83,1333,2020-03-22,1.5,0.004796360751686935,0.2653986282600104,0.05861581920903955,2020-03-22
67,12,KS,2913314,1,56,282,2020-03-22,1.0,0.004903595796990742,0.2746013646314815,0.16568047337278108,2020-03-22
66,12,IN,6732219,6,182,1191,2020-03-22,3.0,0.006365975743977262,0.38620252846795383,0.1325564457392571,2020-03-22
65,12,IL,12671821,9,985,6822,2020-03-22,4.5,0.005073123609125657,1.110450389997505,0.1261688228512873,2020-03-22
69,12,LA,4648794,18,747,2505,2020-03-22,10.0,0.03072993616347441,2.2955262314115386,0.22970479704797048,2020-03-22
139,13,OR,4217737,9,387,8014,2020-03-29,6.5,0.022015868428292912,1.310790935653747,0.046065944530413044,2020-03-29
130,13,ND,762062,1,69,2095,2020-03-29,0.5,0.00937306563357987,1.293483057434022,0.03188539741219963,2020-03-29
131,13,NE,1934408,2,60,1612,2020-03-29,1.0,0.007385057488241511,0.4431034492944907,0.03588516746411483,2020-03-29
132,13,NH,1359711,2,149,3336,2020-03-29,1.0,0.010506434297960585,1.5654587103961273,0.042754662840746055,2020-03-29
133,13,NJ,8882190,188,11472,21889,2020-03-29,107.5,0.17289815751681575,18.45104802821312,0.343874584095201,2020-03-29
134,13,NM,2096829,2,172,5621,2020-03-29,1.0,0.006813008731620121,1.1718375018386609,0.029691006387018815,2020-03-29
135,13,NV,3080156,21,584,5964,2020-03-29,13.5,0.06261278417623746,2.708582663623902,0.08918753817959682,2020-03-29
136,13,NY,19453561,851,44345,66372,2020-03-29,481.0,0.3532221463941009,32.56473197889065,0.4005256645320953,2020-03-29
137,13,OH,11689100,26,1302,18872,2020-03-29,14.5,0.0177210270373987,1.591226013978835,0.06453851492019431,2020-03-29
138,13,OK,3956971,14,362,536,2020-03-29,8.0,0.02888212076502817,1.3069159646175248,0.40311804008908686,2020-03-29
140,13,PA,12801989,36,2915,25097,2020-03-29,19.0,0.021202062541107593,3.2528427530172963,0.10406254462373268,2020-03-29
146,13,UT,3205958,1,538,12550,2020-03-29,1.0,0.004455989219357923,2.3973222000145626,0.04110635696821516,2020-03-29
142,13,SC,5148714,13,579,1549,2020-03-29,8.0,0.022196943602949066,1.6065037932634385,0.27208646616541354,2020-03-29
143,13,SD,884659,0,69,2387,2020-03-29,0.5,0.00807413607147742,1.114230777863884,0.02809446254071661,2020-03-29
144,13,TN,6829174,7,1032,15765,2020-03-29,3.5,0.007321529660834531,2.1588053171374963,0.061439542775495626,2020-03-29
145,13,TX,28995881,29,2218,14786,2020-03-29,17.0,0.008375573856753754,1.0927660478988133,0.13043989649494236,2020-03-29
129,13,NC,10488084,4,785,11722,2020-03-29,2.0,0.002724179990494791,1.0692406462692057,0.06276485168305748,2020-03-29
147,13,VA,8535519,19,671,6601,2020-03-29,10.5,0.0175736238183056,1.1230382459126722,0.09227172717271727,2020-03-29
148,13,VT,623989,10,182,2286,2020-03-29,6.0,0.13736505886207243,4.166740118816197,0.07374392220421394,2020-03-29
149,13,WA,7614893,111,2770,27573,2020-03-29,90.0,0.1688420685247036,5.196583664593655,0.0912895890320667,2020-03-29
150,13,WI,5822434,9,851,10320,2020-03-29,6.5,0.015948165811264303,2.087982939290142,0.07617939307134544,2020-03-29
151,13,WV,1792147,0,101,2320,2020-03-29,0.0,0.0,0.8050997729857778,0.041718298223874434,2020-03-29
